,name,,Gen Appr,General Approach Standardized,Spec Appr,Specialized Approach Standardized,Gen Geogr,Spec Geogr,Comments Stephan,prob,frex
49,49,,Social History,Social History,Rural,Rural,Europe,Local & Micro,not sure that micro is correct but there’s a local flavor to this topic,"villag, peasant, local, rural, communiti, town, region, area, social, land, tax, collect, provinc, countrysid, one, often, district, mani, communal, peasantri","seignior, bandit, banditri, peasant, villag, peasantri, rural, countrysid, tith, tenishev, communal, pelageia, posidelki, landless, pea, brigandag, commune, vil, brigand, landlord"
50,50,,Religious History (Christianity),Religious History,Christainity,Christianity,?,Christianity,agree,"church, religi, christian, cathol, religion, god, protest, secular, priest, faith, missionari, bishop, saint, see, theolog, reform, spiritu, clergi, parish, author","laiti, bucer, cpf, catholic, pentecost, church, protestant, jesus, christ, cathol, dioces, theolog, lutheran, bishop, parishion, anabaptist, votiv, evangel, religion, sacrament"
51,51,,Cultural,Cultural History,Renaissance,Renaissance,Europe,Italy,,"venic, florenc, see, venetian, renaiss, centuri, citi, del, florentin, italian, itali, della, polit, one, rome, also, state, earli, mediev, giovanni","anzola, barberini, terraferma, chittolini, cosimo, sbirri, brescian, taddeo, berengo, signoria, popolani, rettori, lusanna, cattarina, scudi, angelelli, asb, cozzi, pepoli, carcerati"
52,52,,Cultural,Cultural History,Beliefs/Freud/Psychoanalysis,Beliefs/Freud/Psychoanalysis,Europe,,there’s …. a lot in this topic and I think it should be more specific than just intellectual history,"freud, witchcraft, suicid, witch, bodi, magic, also, patient, see, psycholog, psychoanalysi, case, accus, one, demon, sleep, person, belief, fear, centuri","sanniya, sanni, guna-guna, strava, breil, topsel, fabliau, huguett, fabliaux, psychoanalysi, srm, witchcraft, freud, a209, witch, macnish, nganga, psychoanalyt, anorexia, suicid"
53,53,,Political (British),Political History,Political History (Great Britain),,Britain,London,agree,"liber, govern, georg, war, london, parti, labour, lloyd, british, time, churchil, cabinet, lord, may, minist, conserv, nation, tion, asquith, polit","asquith, repington, blimp, westarp, schnadhorst, wsc, gort, bentinck, lasker, weygand, goschen, bonar, reynaud, churchil, lca, dnvp, campbell-bannerman, lambach, gladston, unionist"
54,54,,South Asian History,,South Asian History,,South Asian History,India,agree,"india, mughal, portugues, see, centuri, trade, also, pirat, compani, european, ruler, empir, merchant, king, histori, court, indian, world, ottoman, state","jahangir, julfa, rampur, temur, piozzi, picton, mihran, wira, siddiq, vallabha, saurashtra, awadh, asaf, nawab, mughal, jahangirnama, rohilla, aslanian, piraci, varthema"
55,55,,Intellectual (Marxism),Intellectual History,Marxism,Marxism,Europe,Germany?,agree,"revolut, social, class, polit, movement, revolutionari, liber, socialist, radic, new, marx, ideolog, societi, bourgeoi, intellectu, econom, weber, marxist, capit, struggl","lukac, marx, marxist, marxism, proletariat, weber, bourgeoisi, engel, revolutionari, bourgeoi, maal, revolut, proletarian, revolu, anarchist, socialist, zetkin, marxian, proudhon, tocquevill"
56,56,,Social,Social History,Urban History,,?,,agree,"citi, urban, hous, space, build, street, neighborhood, new, town, place, social, plan, public, resid, live, communiti, area, one, architectur, center","okiek, bobigni, sepych, blat, lindt, kipsigi, ndaraweta, bodiam, architectur, plain-deal, neighborhood, tesfay, spatial, guanxi, space, jat, mandai, korowai, urban, slum"
57,57,,Race ??  What's the big category here? ,,Holocuast,Holocaust,European History,Germany,agree,"memori, war, holocaust, past, victim, histor, histori, event, narrat, experi, one, genocid, death, also, time, collect, nazi, friedland, present, commemor","holocaust, cypriot, mkwawa, friedland, auschwitz, genocid, cremat, goldhagen, memori, commemor, rousso, atroc, hilberg, extermin, schindler, vonnegut, perpetr, survivor, hehe, remembr"
58,58,,Environment,Environmental History,Oceans ,Oceans,?,,agree,"forest, environment, fish, water, natur, land, ecolog, tree, island, hunt, river, new, resourc, environ, plant, main, peopl, landscap, year, sea","faroes, lobster, ecosystem, maohi, worster, durian, cofrad, rejang, frier, fisheri, peluso, ninka, faro, hiker, schrauwer, texel, niod, forestri, environment, oyster"
59,59,,Colonial,Colonial History,Africa (British colonialization of),Africa (British Colonization of),Africa,,This seems more specific to Africa than GB.,"african, coloni, africa, south, nativ, polit, white, cape, see, kenya, british, also, european, peopl, chief, govern, east, movement, london, tanzania","kamba, kikuyu, luthuli, nyerer, kna, afrikan, hintsa, johannesburg, transvaal, nkosi, buthelezi, rhodesian, tanu, angoulv, machako, inkatha, mayekiso, maji, ilrm, icu"
60,60,,Eastern Europe,Political History,Soviet,Communism,European History,Soviet Union,agree,"soviet, communist, parti, war, stalin, state, union, peopl, moscow, vietnames, vietnam, russian, nation, see, new, also, leader, central, organ, govern","komsomol, samphan, kke, quisl, nkvd, uzic, foco, djurdjev, usfet, rgae, nof, minh, drv, 9493, trainin, vyshinskii, tsga, kampuchea, tukhachevski, hanjian"
61,61,,Medicine (phyisician),History of Medicine,History of Medicine  (Doctors & Patients),Doctors & Patients,History of Medicine ,Europe,agree,"medic, health, physician, hospit, doctor, patient, medicin, birth, asylum, diseas, practic, nurs, care, control, case, one, report, babi, histori, infant","lamaz, crech, homeopath, rainhil, ppm, immunis, exminst, midwiv, l'accouch, midwiferi, wem, obstetr, sheppard-town, chiropract, lunat, foreskin, dispensari, zakrzewska, midwif, asylum"
62,62,,Cultural,Cultural History,Sports,Sports,Britian,London,,"london, class, social, sport, britain, work, british, victorian, club, histori, centuri, game, working-class, labour, ofth, play, see, england, also, leisur","cricket, salford, blackpool, footbal, middlesbrough, scuttler, costermong, basebal, chartism, sport, chartist, edwardian, hillyar, athlet, rugbi, cobb, leed, mayhew, mid-victorian, coney"
63,63,,Political,Political History,German,,Europe,Germany,could also go as “Political History (Germany),"german, germani, war, austria, polici, austrian, foreign, franc, russia, govern, bismarck, power, minist, berlin, vienna, french, russian, von, nation, prussia","buol, rechberg, tisza, metternich, lichnowski, neurath, arnim, visconti-venosta, rantzau, weizsack, thugut, burian, maeh, stresemann, bernstorff, strese, nigra, bosdari, romanzoff, hhsa"
64,64,,Slavery (slave trade),History of Slavery,Slavery (Slave Trade),Slave Trade,Africa,,,"african, africa, slave, trade, west, coast, ghana, european, rice, yoruba, cultur, coloni, new, see, atlant, ethnic, centuri, histori, nigeria, maroon","igbo, geeche, gullah, maraka, benin, ghanaian, akan, igboland, aladura, accompong, mandinka, jola, maranh�, sarbah, ajayi, tstd2, maroon, staden, praad, ghana"
65,65,,Latin America ,Environmental History,drug trafficking,Science and Technology in the Global South,Latin America,,"lots going on in this one, I agree. Still tempted to put it as a general latin america topic","latin, argentina, chile, drug, america, air, bueno, miner, mine, american, new, use, chilean, nation, peru, see, del, univers, argentin, cocain","yerba, gaucho, marihuana, chilean, amphetamin, popular-front, payador, radon, cayamb, berisso, bignon, tinsman, tarapac�, ansling, cocain, argentin, estanciero, guano, nitrat, coca"
66,66,,Economic History,Economic History,Demographic,Demographic,Public Health,It's really about population change??  Infant mortality,I really don’t know about this one. Lots on nutrition and infant mortality  LS: I don't see any nutrition. ??,"popul, age, fertil, birth, year, mortal, rate, death, demograph, declin, famin, centuri, chang, data, increas, period, climat, growth, number, studi","bmis, bmi, tree-r, tambora, enso, aerosol, ice-cor, shepsh, briffa, demeni, arakawa, ��, ���, post-neonat, vei, fleischhack, gisp2, speleothem, ppr, volcan"
67,67,,Native American History,Indigenous History,America--including caribbean and canadian,Native Americans,America,Native American,agree,"indian, nativ, cultur, american, peopl, mission, new, white, indigen, missionari, european, see, civil, coloni, tribe, anthropolog, one, among, savag, land","berdach, neolin, cahuilla, pequot, carib, kwakwaka'wakw, inuit, potlatch, cree, dixon, casement, boa, putumayo, anasazi, savag, phoenix, assiniboin, patencio, stoney, lenap"
68,68,,Intellectual History,Intellectual History,Intellectual History,,Intellectual History,,agree,"human, cultur, histori, natur, theori, concept, histor, anthropolog, one, scienc, time, univers, mean, form, object, world, modern, new, can, subject","blumenberg, fasolt, heidegg, koselleck, urapmin, selectionist, evolutionari, foucault, cassir, hegel, kant, levi-strauss, l6with, fracchia, lewontin, steigmann-gal, mauss, schmitt, earthris, phenomenolog"
69,69,,Cultural,Cultural History,Childhood,Childhood,?,,Could this go under Cultural History (Childhood & Family)?,"children, child, mother, famili, parent, poor, girl, age, social, home, work, boy, care, chariti, youth, young, childhood, school, adult, ofth","childrear, boisard, nurseri, orphanag, froebel, childhood, foundl, chariti, child, orphan, children, parent, workhous, pauper, girl, childcar, adolesc, mother, dren, chil"
70,70,,Intellectual History,Intellectual History,(Political Theory),Political Theory,European ,?,,"polit, moral, idea, natur, thought, human, one, man, tradit, intellectu, ibid, right, life, nation, view, peopl, even, modern, must, like","ethic, hobb, virtu, moral, thinker, renan, rosicrucian, bentham, machiavelli, humanist, strauss, butterfield, thought, tawney, intellectu, sleidan, pocock, ideal, liberti, principl"
71,71,,Europe ,,French Revolution,French Revolution,European History,French Revolution,remarkable how it peaks at the 200th anniversary.,"pari, revolut, des, french, franc, assembl, 1789, estat, royal, one, offic, revolutionari, general, nobl, king, see, year, tax, regim, parlement","necker, calonn, girondin, bailliag, siey, servan, babeuf, tackett, varlet, saint-florentin, sectionari, adcm, cbf, sans-culott, sans-culotteri, gubern, kuscinski, nlmes, nivos, rabaut"
72,72,,Political,Political History,Italian fascism,Italian Fascism,European History,Italy & Fascism,agree,"italian, itali, mussolini, fascist, fascism, see, rome, croce, polit, del, war, new, della, also, nation, milan, storia, sorel, liber, turin","ragionieri, paradisi, psf, fascista, sutera, cln, delzel, morandi, sacco-vanzetti, bottai, vociani, piagnoni, niceforo, brigantaggio, actualist, vanzetti, emiliana, situazion, gobetti, sorel"
73,73,,Economic History,Economic History,Economic History (Fossil Fuels),Fossil Fuels,Transnational,Fossil Fuels,,"oil, american, new, state, compani, industri, technolog, road, car, see, nation, railway, unit, product, world, war, york, petroleum, time, also","exxon, opa, volkswagen, oilmen, deepwat, petroleum, opec, telephoni, ittila'at, degoly, oil, beetl, pipelin, saudi, refineri, highway, automot, hertog, offshor, gusher"
74,74,,Medieval,Medieval History,Medieval History,,Medieval History,,agree,"kinship, feudal, fosterag, also, adopt, blood, press, son, foster, nobl, see, univers, social, milk, warrior, mediev, relat, earli, descent, societi","fosterag, funj, cliental, obizzo, chitral, atalyk, proto-indo-european, fosterl, chulainn, kavad, copar, foster-kinship, segmentary-tributari, foster-broth, foster-fath, mazdak, n6brega, berserk, leonello, aman-ul-mulk"
75,75,,Race,History of Race,Race,,Europe/America,,,"race, white, racial, coloni, black, color, new, african, european, nation, citizenship, men, racism, cuba, class, differ, peopl, cuban, cheroke, societi","quadroon, d'auberteuil, freemasonri, reconocimiento, miscegen, common-law, expatri, racial, afro-cuban, stateless, cuban, colonizationist, race, havana, slc, racism, eurasian, couleur, cuba, hilliard"
76,76,,Spanish,,European History (Early Modern Spain),,European History,Early Modern Spain,,"spanish, spain, madrid, del, citi, centuri, see, vol, new, also, los, mexico, one, las, basqu, barcelona, juan, historia, spaniard, fol","aqiili, escribano, madera, ivrea, hekdesh, vicen, morisco, baldio, juicio, aldret, bilbao, peseta, baldia, antioquia, carand, catalonia, cerdanya, jovellano, legajo, mayorazgo"
77,77,,"Historiography ? There's Atlantic World, colonialism, two theorists mentioned are for Atlantic World",Transnational History,Transnational,Atlantic World,Colonial system,Transnational,"a lot in this topic. I think Canada is too narrow. This is about frontiers, the Atlantic world, Empire, and North America in a transnational context. That's right","american, state, unit, nation, america, empir, coloni, british, new, world, imperi, war, intern, european, see, britain, york, atlant, histori, power","canadian, quebec, twiss, canada, cohn-bendit, trans-appalachian, atlant, novak, canizares-esguerra, transnat, anglo-american, geopolit, armitag, continent, nullius, empir, sovereignti, anglophon, imperi, transatlant"
78,78,,Military (World War I),Military History,Military History (World War I),World War I,Military History,World War I,,"1918, 1917, war, 1919, wilson, 1921, british, govern, german, 1922, american, 1920, russia, bolshevik, alli, state, offic, committe, see, 1916","weizmann, trotski, petrograd, repar, 1917, brandei, bolshevik, sisson, 1918, lans, 1919, clemenceau, balfour, lockhart, embryo, noulen, wilson, wiseman, hoover, 1921"
79,79,,Latin America (colonial),Colonial History,Latin American History (Colonial),,Latin American History,Colonial,,"brazil, rio, brazilian, slave, paulo, sao, janeiro, coloni, see, popul, portugues, vol, bahia, free, dos, one, brasil, mina, jose, portug","cabanagem, jeronymo, parana, rondon, orfao, janeiro, relatorio, contestado, juiz, ordem, aesp, recif, brasil, gerai, paraiba, bairro, bororo, brasileira, paulo, sao"
80,80,,Social,Social History,Russian,,European History,Russia,,"russian, russia, moscow, see, petersburg, peasant, centuri, also, tsar, even, new, state, peter, western, one, societi, imperi, serf, alexand, time","molokan, tsgia, loris-melikov, kliuchevskii, service-class, aksakov, zemstvo, germogen, il'minskii, reutern, ostroumov, obrok, otd, urp, gubernii, kadet, shingarev, sarov, kokovtsov, vrach"
81,81,,Political,Political History,Political History (Governance),Governance,Political History,Governance/Bureaucracy,There has to be a better word than governance. ,"polit, state, power, govern, elit, new, system, social, institut, societi, econom, develop, control, class, structur, press, rule, regim, organ, univers","bureaucrat, bureaucraci, legitimaci, elit, patron-cli, clientelist, politi, autonomi, oligarchi, apparatus, sector, regim, government, patronag, polit, coup, corrupt, authoritarian, decentr, autonom"
82,82,,?? Clearly a book review.,Noise,Noise (Publication),Publication,Noise,Publication,"agree, should probably file under noise","american, new, histori, york, univers, press, america, cultur, histor, historian, john, studi, social, note, book, world, unit, librari, journal, chicago","paperback, jameson, dewey, hofstadt, higham, bibliograph, bancroft, bibliographi, beard, schlesing, index, barn, i924, i920, bailyn, lippmann, novick, addam, i9i8, i928"
83,83,,Social Movements (US),Political History,U.S. History (Social Movements),Social Movements,U.S. History,Social Movements,,"american, right, new, polit, york, movement, nation, war, state, black, organ, see, histori, civil, 1960s, liber, america, power, box, conserv","trice, sds, sncc, reagan, phillips-fein, eeoc, panther, campus, countercultur, benson, valenti, 1960s, conservat, mccarthyism, nixon, activist, carmichael, antiwar, sugru, rugg"
84,84,,Pre-Columbian?  Colonial,Colonial History,Latin American History (Colonial),,Latin American History,Colonial,Is there a particular term for early (mostly 16th) and pre colonial latin american history? Colonialism begins at the end of the 15th century!,"indian, spanish, mexico, inca, coloni, del, see, new, guatemala, los, indigen, one, columbus, also, peru, san, maya, las, citi, spaniard","k'ich, agustina, atahualpa, ladino, duviol, chiriguano, ocelotl, arbenz, agey, betanzo, inq, huatl, utep, chamula, camaquen, pachacuti, rraga, gachupin, culebra, viracocha"
85,85,,Noise,Noise,Noise (Letters to the Editor),Letters to the Editor,Noise,Letters to the Editor,I think this is noise.,"histori, new, one, state, american, see, polit, histor, also, social, time, work, nation, use, may, centuri, first, even, indian, peopl","edn, navajo, pinchot, follett, dobyn, chippewa, stimson, ahr, miskito, eisenhow, ethnohi, chipewyan, i965, klamath, thwait, spingarn, paiut, sioux, i962, peco"
86,86,,Social,Social History,Agriculture,Agriculture,?,Agriculture,Can we file this under social history?,"land, agricultur, farm, farmer, labor, product, rural, crop, peasant, cultiv, area, agrarian, tenant, labour, market, produc, popul, econom, food, increas","cheesemak, debt-sal, farm, tenanc, farmer, mezquit, hectar, tenant, smallhold, acr, crop, agricultur, dairi, plow, manur, wheat, grower, sharecrop, maiz, zakat"
87,87,,Economic History,Economic History,Military/Industrial complex,Military/Industrial Complex,US? Mentions Nixon?,,...but what kind of economic history is this?,"war, american, year, new, industri, one, econom, histori, data, product, unit, time, percent, tabl, state, use, nation, period, polit, rate","comput, index, coeffici, steel, i969, output, nixon, ratio, median, data, interv, cochran, statist, regress, quantit, iron, salari, gallman, i900, rostow"
88,88,,,Political History,European History (Early Modern France),Diplomacy,European History,Early Modern France,I think early modern is more pronounced in this topic than diplomatic.  But early modern is not an approach,"king, french, franc, loui, princ, fol, royal, diplomat, xiv, see, war, ibid, emperor, vol, state, peac, spanish, duke, also, monarch","pontchartrain, torci, s6r, louvoi, colbert, xiv, luce, harley, pitt, savoy, franconian, aae, regent, pym, estrad, regenc, frond, 1643, villar, monarch"
89,89,,Gender,Women’s and Gender History,social theory/feminism,Social Theory & Feminism,Women’s History,,,"women, men, femal, woman, gender, work, male, famili, husband, domest, home, role, also, sexual, feminist, social, mother, sex, see, girl","women, feminist, femin, femal, gender, woman, wive, male, husband, feminin, womanhood, patriarchi, ladi, motherhood, sew, sisterhood, wom, joan, sex, breadwinn"
90,90,,Transnational,Transnational History,Borderland,Borderlands,"US/Mexico Border, Hatian/Dominican Republic border",,I think this goes beyond colonial,"mexico, mexican, state, border, borderland, american, indian, new, see, texa, unit, nation, latin, frontier, haitian, spanish, also, america, histori, dominican","o'odham, nogal, htas, lulac, saltillo, chihuahua, cardenista, ordaz, casanar, lerdo, tohono, fabila, concow, campesino, hta, comanch, sonora, sonoran, iturribarria, monterrey"
91,91,,Legal,Legal History,Legal History,,Legal History,?,,"law, legal, court, right, case, state, properti, rule, author, constitut, judg, act, system, order, justic, civil, practic, power, govern, legisl","law, legal, litig, judici, jurisdict, court, lawyer, judg, justic, legisl, customari, statut, jurist, suprem, properti, code, procedur, disput, right, jurisprud"
92,92,,Historiography,Historiography,Theory of science?,Linguistic Turn,Historiography,Linguistic Turn,,"histor, histori, past, can, historian, one, mean, narrat, event, philosophi, theori, differ, present, concept, interpret, time, way, object, fact, explan","ankersmit, gadam, brandom, hadot, f0rland, bernheim, collingwood, narrativist, stueber, railton, levina, derrida, mccullagh, danto, explanandum, counterfactu, runia, illocutionari, historic, frege"
93,93,,Political,Political History,British foreign affairs,British Foreign Affairs,British,,,"british, foreign, britain, govern, french, state, offic, treati, london, polici, agreement, grey, franc, great, power, minist, interest, may, confer, question","harding, pmc, holmwood, palmerston, grey, meighen, mosul, consular, georges-picot, raynev, morel, consul, briand, maze, takoradi, kurusu, greytown, f0371, anglo-japanes, memorandum"
94,94,,East Asian History (China),,China,,East Asian History,China,Not sure what the approach is,"chines, china, shanghai, see, confucian, offici, qing, imperi, han, also, histori, peopl, one, univers, beij, ming, taiwan, cultur, press, western","labrang, tingyun, aleni, panchen, nianhua, zhongguo, subei, renmin, zhizao, meishu, xuanc, yanjiu, chubansh, lishi, tianjin, ershiwu, taizong, qianlong, shehui, guoxu"
95,95,,Social,Social History,Urban History (Crime),Urban History & Crime,US,,,"polic, new, citi, york, chicago, see, american, report, street, histori, ofth, social, prostitut, year, state, journal, boy, urban, public, reform","newsboy, patrolman, aspca, anti-vic, patrolmen, poorfarm, hobo, laguardia, saloon, cop, boyl, seneca, pickpocket, monkkonen, policemen, polic, precinct, prostitut, brothel, whitin"
96,96,,U.S. Civil War,,U.S. History (Civil War),,U.S. History,Southern,,"lincoln, war, american, civil, new, york, state, south, southern, see, nation, slaveri, histori, polit, northern, union, republican, 1863, north, 1860","taney, lincoln, gridley, sumner, howe, 1863, abraham, proslaveri, confederaci, confeder, afic, neeli, douglass, 1862, abolitionist, 1864, indign, cretan, 38th, gruber"
97,97,,Political,Political History,Nazism,Nazism,European History,20th Century Germany,,"german, germani, nazi, der, und, polit, hitler, see, die, social, nation, parti, reich, war, berlin, also, west, weimar, des, resist","cdu, nsdap, kdf, waffen-ss, hiag, gestapo, dhv, gdr, gauleit, schleicher, bundeswehr, kpd, bonhoeff, nva, sonderweg, bundesrepublik, nsv, dvp, peukert, daf"
98,98,,Oceania (this is not an approach--but I don't see one),,,,Oceanian History,,I think this is broader than just Australia,"anim, new, australia, australian, coloni, pacif, zealand, island, aborigin, univers, press, human, cultur, see, land, also, histori, south, missionari, london","fijian, threlkeld, larrikin, vanuatu, tahu, kanak, parihaka, maori, malakula, suva, fiji, polynesian, gipp, caledonia, melanesian, australian, aav, whakapapa, zealand, taranaki"
99,99,,Cultural,Cultural History,History of Sexuality,Sexuality,US?,New York?,maybe Cultural History (Sexuality)?,"sexual, love, sex, emot, men, new, marriag, social, york, homosexu, women, male, gay, man, see, masculin, cultur, centuri, desir, one","homophil, ics, homosexu, swish, same-sex, lesbian, heterosexu, crossdress, courtship, beauvoir, glbths, culture-and-person, grimk, psychopath, sexual, queer, gay, almena, shyness, erot"
100,100,,Political (Italy),Political History,European History (Italy),,European History,Italy,this is a tiny topic with only 5 articles,"giolitti, italian, corradini, nationalist, war, itali, polit, nation, regno, libya, idea, liber, nazional, govern, frassati, 1912, 1914, 1911, see, del","frassati, corradini, giolitti, regno, libya, stampa, giolittian, nazional, papini, nazionalismo, salandra, pareto, rocco, corrier, federzoni, parlamentari, coppola, luciana, cunsolo, gazzetta"
