,men_sex,women_sex,men_sexuality,women_sexuality,men_freud,women_freud,men_emotions,women_emotions,men_love,women_love,men_gay,women_gay,men_masculinity,women_masculinity,year
0,7.188064805647702e-06,0.0,0.0,0.0,4.189778950717689e-06,0.0,9.114747120951639e-06,1.2640626975097965e-06,5.335552221403057e-05,3.235287750682714e-05,3.315546834645147e-06,0.0,0.0,0.0,1953
1,6.162056255582194e-06,0.0,0.0,0.0,4.1636545933414775e-06,0.0,8.82825570086733e-06,1.2640626975097965e-06,4.9710343604209135e-05,2.8098282544267572e-05,3.7225524286937225e-06,0.0,0.0,0.0,1954
2,6.420228927147383e-06,0.0,0.0,0.0,4.1636545933414775e-06,0.0,8.715645066618292e-06,1.2640626975097965e-06,4.770573096817293e-05,2.3154640068491423e-05,3.5425731744234124e-06,0.0,0.0,0.0,1955
3,9.194555375568072e-06,2.7378507871321012e-05,0.0,0.0,1.0816879227188306e-05,0.0,8.882345296297784e-06,1.2640626975097965e-06,4.929847563843391e-05,1.1083623313949209e-05,4.873080454619235e-06,0.0,0.0,0.0,1956
4,1.365891851719798e-05,3.382097662534755e-05,0.0,0.0,9.221982895449869e-06,0.0,7.963472553603112e-06,1.2640626975097965e-06,6.092770057314945e-05,3.229653398899994e-05,5.186117846738867e-06,0.0,0.0,0.0,1957
5,1.2104238576440961e-05,3.382097662534755e-05,0.0,0.0,8.109773908813275e-06,0.0,8.217498125824156e-06,0.0,5.9267775364105386e-05,3.3042746291916035e-05,5.172460896525825e-06,0.0,3.3560725855390066e-07,0.0,1958
6,1.3699152229005037e-05,4.7455663112494194e-05,2.633651215034988e-07,0.0,1.2210645260887621e-05,0.0,9.202903932049391e-06,0.0,7.84032956305505e-05,3.3042746291916035e-05,2.1165770150561327e-05,0.0,3.3560725855390066e-07,0.0,1959
7,1.4102746717677993e-05,4.7455663112494194e-05,2.633651215034988e-07,0.0,1.2210645260887621e-05,0.0,7.407676138691172e-06,6.374501992031872e-06,8.83150371310314e-05,3.5493726684072895e-05,2.0677751000977564e-05,0.0,3.3560725855390066e-07,0.0,1960
8,1.1943116368000413e-05,2.007715524117318e-05,2.633651215034988e-07,0.0,7.340481934525791e-06,0.0,1.0169172853949972e-05,6.374501992031872e-06,9.01685394850716e-05,4.856562210890949e-05,2.0315522752269868e-05,0.0,3.3560725855390066e-07,0.0,1961
9,1.0200173193117643e-05,3.1169573606310805e-05,5.075111110394017e-07,0.0,9.397331957153978e-06,0.0,1.2928770966873302e-05,6.374501992031872e-06,7.696017844430455e-05,4.032826700337281e-05,2.0180391430412087e-05,0.0,3.3560725855390066e-07,0.0,1962
10,1.1159779664949245e-05,3.1169573606310805e-05,7.400465378116704e-07,0.0,1.0369714324911974e-05,0.0,1.5747160038892515e-05,9.020844746345411e-06,7.824430940456369e-05,5.9963197929945405e-05,1.9637632736787527e-05,0.0,1.1358008986456715e-07,0.0,1963
11,2.2188949540650418e-05,0.00010702280449842783,4.766814163081716e-07,0.0,9.000647335874352e-06,1.449905756125852e-06,1.939601496128512e-05,9.020844746345411e-06,6.19925641353759e-05,7.897012069968925e-05,3.3276489205640216e-06,1.449905756125852e-06,1.1358008986456715e-07,0.0,1964
12,2.285736340837129e-05,0.00010702280449842783,4.766814163081716e-07,0.0,1.0132974085638522e-05,1.449905756125852e-06,2.1717468611817867e-05,3.1312780089481524e-05,4.907048691205149e-05,8.863686460702051e-05,4.163262961159706e-06,1.449905756125852e-06,2.440901177055989e-06,0.0,1965
13,2.7820346878509015e-05,0.00011195670475517437,6.695324292581171e-07,1.161170459823502e-05,1.3845873395734105e-05,1.449905756125852e-06,2.0355240539848874e-05,3.1312780089481524e-05,5.073276144086909e-05,8.298921933309058e-05,3.835819500241495e-06,3.4466311265184085e-06,2.633752190005935e-06,0.0,1966
14,3.137110774758071e-05,0.00012108163932503297,4.2538643972221414e-07,1.161170459823502e-05,1.4537594946181076e-05,1.449905756125852e-06,1.863638579025059e-05,3.803774506735644e-05,4.9750513780150426e-05,7.979448036297713e-05,7.361188913403409e-06,3.4466311265184085e-06,2.826860912147588e-06,0.0,1967
15,3.764510690527964e-05,0.0001355972996408853,1.9285101294994544e-07,1.161170459823502e-05,1.6088807324885982e-05,1.449905756125852e-06,1.7440613281473608e-05,3.7438150030919196e-05,4.854318959251847e-05,6.710760304551419e-05,7.818277513927088e-06,4.601872456432227e-06,2.9774543948871648e-06,0.0,1968
16,3.800860001821627e-05,0.0001287159200619166,5.728154384946041e-06,1.3726197345807597e-05,2.3416024701022102e-05,9.72106769700485e-06,1.3564318299870252e-05,4.017603886181957e-05,5.3201278262357215e-05,7.231186883901643e-05,2.321005261244916e-05,3.1519667003063756e-06,3.1126676430812227e-06,0.0,1969
17,4.30318512902697e-05,0.0001691409948441014,6.154970478531e-06,1.6065005673795892e-05,3.032114662617129e-05,9.72106769700485e-06,1.3178402907319253e-05,1.551448777905664e-05,5.471669380441418e-05,7.993700582142252e-05,2.2527191641864707e-05,4.325882295775062e-06,1.1341129868464688e-06,2.2268615170494086e-06,1970
18,5.512638121900863e-05,0.00023780496226534294,8.4604050925728e-06,1.8387254999897742e-05,7.3892351011965e-05,9.72106769700485e-06,1.2015893877055426e-05,1.8547638763740297e-05,6.097216408053241e-05,8.795903081267285e-05,2.2775164116870973e-05,2.3291569253825057e-06,9.412619738965234e-07,3.320295446304233e-06,1971
19,6.130662362071411e-05,0.00026002186075686307,2.132640954209576e-05,2.1963511044517372e-05,7.727018058521906e-05,2.7385915023420294e-05,1.6009529084401537e-05,1.3339468495285432e-05,6.317193978366215e-05,8.159764719056558e-05,2.3868657402113574e-05,1.0586877642803206e-05,7.481532517548704e-07,3.320295446304233e-06,1972
20,7.207002678840154e-05,0.0002819691269144554,2.681800561174526e-05,2.5588397515424873e-05,9.704707119283339e-05,3.631902500990143e-05,1.3710501944426975e-05,1.3709823435166375e-05,7.052228996543103e-05,8.303505883171637e-05,2.3090978858023897e-05,9.431636312889386e-06,1.097999692437678e-06,3.320295446304233e-06,1973
21,9.314950247852588e-05,0.00022484922005073133,2.3340407294711992e-05,3.00239881150298e-05,9.950475638587197e-05,2.770749657671728e-05,1.3180558558162126e-05,1.7890783117830572e-05,6.681623982352628e-05,7.627252922478782e-05,8.356392287772012e-06,1.1179819409186365e-05,9.627864442436199e-07,3.320295446304233e-06,1974
22,0.00010511100738501158,0.00023157436688767894,2.6297773442829493e-05,3.338567356092009e-05,9.424405909783413e-05,2.770749657671728e-05,1.3149047097306114e-05,1.5599704212057358e-05,6.557509971210009e-05,6.241215925410506e-05,1.1194241084976098e-05,1.000590381371768e-05,1.0191406318232798e-06,1.0934339292548247e-06,1975
23,0.0001054208537912168,0.0002545368816051319,2.6112872724248222e-05,2.162708554481685e-05,5.80605436331695e-05,2.770749657671728e-05,1.3368983811115007e-05,1.4865074217568336e-05,6.105369350367881e-05,7.329500031760241e-05,1.1801371468389471e-05,1.1765971400313005e-05,1.1514516420839986e-06,1.2969495746005394e-06,1976
24,0.00010258437969310472,0.00022291761386457576,1.7077934484664823e-05,2.868180541963675e-05,6.777107268513535e-05,1.0042649250301836e-05,1.1034047357182117e-05,1.3348279508148284e-05,5.905805441008379e-05,6.935176492724602e-05,9.013134191282276e-06,4.367652539200314e-06,1.1514516420839986e-06,2.5571890200951835e-06,1977
25,9.381627786110642e-05,0.00028363489286798864,1.4210596060198352e-05,2.8751672929046487e-05,4.918497155435057e-05,1.109539263820701e-06,1.073031813217109e-05,1.1860925074571937e-05,5.82147134578491e-05,8.232024361619839e-05,9.097541815176132e-06,4.853844682335281e-06,6.365204083800024e-07,2.5571890200951835e-06,1978
26,7.011258893953234e-05,0.00034054540583001324,1.5985684911385182e-05,6.563103670040896e-05,4.62266023610365e-05,0.00013772199217321,1.0978519210079885e-05,5.6061643534135236e-06,5.2449382221075434e-05,8.857567181426073e-05,1.0254402395502646e-05,6.1384459853953524e-06,6.365204083800024e-07,2.5571890200951835e-06,1979
27,6.906886752297816e-05,0.00043697327857325166,2.2892532140724762e-05,0.00014563062584950585,7.232639358411597e-05,0.0002570529954955927,1.4413034681881579e-05,8.782004803278497e-06,0.0001018789128355543,0.00019300622120676708,7.821413649564175e-06,1.0826589453186985e-05,1.590567815053075e-06,3.419223687879047e-06,1980
28,7.313810849320749e-05,0.00036529270603839813,2.1994564603001274e-05,0.0001457037676070336,6.490720755434006e-05,0.00025766632686626564,1.3478953850545983e-05,7.635495274719978e-06,0.00010205774855648504,0.00017930228861804662,9.144825642566744e-06,1.0043642048443566e-05,4.253893347330179e-06,2.1222741132785074e-06,1981
29,7.446355591396113e-05,0.000391057378895844,1.8571731286600915e-05,0.00014853683134922872,5.578312329144941e-05,0.0002585935417655274,1.039600705383494e-05,9.807416435606228e-06,0.00010333329646032726,0.00019382363005395614,7.156796275961714e-06,1.0935946870725486e-05,4.604622864726363e-06,1.165544147902475e-06,1982
30,9.070027173427951e-05,0.0003315005611006879,2.283267231255214e-05,0.0001525372597974806,5.2848974181038484e-05,0.0002706426418483649,1.2361199638305777e-05,8.877668211425336e-06,0.00010169700076956564,0.0001857282812539205,2.5547377129696254e-05,1.044975472759052e-05,5.374796031340453e-06,1.165544147902475e-06,1983
31,8.75094676257017e-05,0.00028881478658258084,2.3689841423456328e-05,0.00011911811083987849,4.579595745408091e-05,0.0001350870245664533,1.2833124102159085e-05,9.648452570443892e-06,0.00010849094647297389,0.00018540375883009685,2.5960661016820845e-05,1.0878602827180179e-05,5.5790362558711185e-06,3.981620341526357e-06,1984
32,8.510443923754665e-05,0.0002823352660486631,2.0763562634270602e-05,7.172744779415805e-05,2.1134622317063466e-05,1.6608819702210955e-05,8.900615219640778e-06,5.5971632788689986e-06,6.814026139160199e-05,0.00010166236474149476,3.084072864863097e-05,7.018939760605774e-06,4.457349974252679e-06,5.963141035691827e-06,1985
33,7.512340620309244e-05,0.00029775348417406455,2.3434571917247e-05,7.963684901417886e-05,1.6531932028810753e-05,1.8741742723708605e-05,1.4267307435997467e-05,4.823531218258292e-06,8.718568147653571e-05,0.0001115459321033503,4.2584443252100115e-05,7.859682371529662e-06,1.7582453301980508e-06,1.0219513744517581e-05,1986
34,9.422133023308341e-05,0.0003000446796214441,4.2615677495094156e-05,7.72837165942585e-05,1.2610326189179055e-05,1.9607204587259254e-05,2.8748387497253946e-05,6.3176615060689735e-06,9.667628888070593e-05,0.00012656516607755392,6.791365637352015e-05,9.062315567847178e-06,2.23639146981486e-06,1.1951212746736765e-05,1987
35,8.589357819473494e-05,0.00028767079096582015,4.113151235672506e-05,8.321291988670206e-05,1.403110800853001e-05,7.82762812142863e-06,3.024586276901268e-05,8.198929728420157e-06,0.00011638448329206962,0.0001288485246724802,5.0674573723640295e-05,1.2339021137010645e-05,1.7926197678202636e-06,1.7184573311902316e-05,1988
36,9.19136257785328e-05,0.0002902923007415843,4.10848450833618e-05,8.512586227996196e-05,4.129712893950583e-05,5.850337758477812e-06,4.238631854309365e-05,1.1184456144405278e-05,0.00012756696718124985,0.00011819954199381673,5.5867178471321786e-05,1.0800309295114056e-05,2.564762733694771e-06,1.612156059670699e-05,1989
37,9.2491093173896e-05,0.00020390802966301183,4.561567169574751e-05,7.528123141635023e-05,4.175878188526088e-05,6.167057112093052e-06,4.436411201570938e-05,1.4093370572417521e-05,0.0001250821361089423,0.00013423538136717733,5.38818011463089e-05,2.468761040496639e-05,4.60474661033855e-06,2.2827042507447998e-05,1990
38,9.638653149043525e-05,0.00023341107866186304,4.899755632322989e-05,9.055037179193301e-05,5.5030885958509254e-05,1.1618115672292926e-05,4.499701398457514e-05,1.9164962583507007e-05,0.0001436597825210971,0.000143172238853454,4.090677755527949e-05,2.8514608348884436e-05,9.291123460182695e-06,2.454563744081069e-05,1991
39,8.236232319248278e-05,0.00023554546854725797,3.300683212088887e-05,0.00012075277365291,5.677733269723177e-05,1.1536822813609364e-05,3.146807777485381e-05,1.7688544323967712e-05,0.00013680508812362967,0.0001301135288269368,1.867205031736949e-05,3.4414846524701404e-05,1.5023321741026018e-05,3.315216537593349e-05,1992
40,7.339798711079867e-05,0.00024212672782782655,3.366514742584273e-05,0.00014303418972355086,6.37986084479058e-05,1.376942348916685e-05,3.203239973905526e-05,2.0454757874856843e-05,0.0001223048429038011,0.00014297782013811145,6.304964089406915e-05,4.393616665409264e-05,1.9273468127910086e-05,5.154774355098424e-05,1993
41,0.00010993389120476399,0.00022621163239694675,4.402437286557038e-05,0.00016097145842473314,3.93511587436136e-05,1.5365422547358237e-05,2.0130745653296563e-05,2.4941856510408202e-05,0.00011418087314186256,0.0001616002507409602,5.7883006362045617e-05,4.567456418085905e-05,2.491248907104283e-05,5.678951901342819e-05,1994
42,0.0001089737920070103,0.00020672793027251064,4.0224129764124244e-05,0.00015140494853140544,4.6188447908543316e-05,1.5770713711283107e-05,2.3258684274041634e-05,2.5519551213148185e-05,0.00010855471247713555,0.00017336879008285772,5.5383972465140656e-05,4.096422652085143e-05,3.132591711915471e-05,5.1596275489508523e-05,1995
43,0.00010475739237520205,0.00017557024095591185,3.815241328783925e-05,0.00014979411110698678,3.238908718026532e-05,1.3815215090382944e-05,1.8644904426265413e-05,2.1643699568844557e-05,7.391278118546287e-05,0.00017482455943284143,6.158084481279665e-05,4.72938341428355e-05,3.392504519980327e-05,5.668680002573282e-05,1996
44,0.00010428961651324768,0.00014579405915795735,4.0810396484799335e-05,0.00012068140470893178,3.0798707078728676e-05,1.7191923679947824e-05,1.940440176427663e-05,2.284990217789188e-05,7.165255783174534e-05,0.00016655117203054926,6.395933014336287e-05,4.269836765438599e-05,2.9588267375302893e-05,5.226732171515894e-05,1997
45,0.00011403615675423847,0.00016573530499784317,4.399915721623892e-05,0.00015061810134102616,2.2480942532653435e-05,1.9676930999987606e-05,1.700809375338445e-05,4.188252716655646e-05,6.386382270587289e-05,0.0002065161169518133,2.268942500712778e-05,3.497480683359175e-05,4.536538519715389e-05,4.858581772551045e-05,1998
46,8.401013557029078e-05,0.0001908147238587513,4.34123404940207e-05,0.0001388485013489044,2.547918825499734e-05,2.7247869191748976e-05,1.9119498416793075e-05,4.0783788776219666e-05,6.350984740718418e-05,0.00023275975704464092,2.1683597057090365e-05,3.417634936952556e-05,4.5623339287758594e-05,4.671879813154576e-05,1999
47,8.817502141890178e-05,0.00018687430008312676,4.4483090145897556e-05,0.00013092742141830176,1.581515600885568e-05,2.8124576436764238e-05,1.8459205321859043e-05,6.093676300708357e-05,7.022648626068812e-05,0.0002031484474592984,2.1867975111107114e-05,2.5422520922082388e-05,4.3115955149078966e-05,4.643904818776193e-05,2000
48,9.8956760292042e-05,0.00019173643827073567,5.883932665177076e-05,0.00016056071158974855,1.9459249318026268e-05,2.448794412995016e-05,2.1732973950358417e-05,6.355208740273441e-05,7.063635249206511e-05,0.0002090799052237415,1.7716635600348843e-05,2.339825004334839e-05,3.982717595552809e-05,4.5628417546317553e-05,2001
49,0.00012125574915101168,0.000245733932952153,6.323102179169317e-05,0.00017782547081435446,1.9502343149476777e-05,2.187560083869296e-05,2.3171998756859848e-05,6.736766358188795e-05,9.442998734177079e-05,0.00022949465180439576,1.4163273280592859e-05,2.440640253573374e-05,4.732997034913639e-05,6.994166530984462e-05,2002
50,0.00011389132056140946,0.0002679759382566213,6.423067664046855e-05,0.00013003378176041708,2.1663512332195724e-05,2.278280377934339e-05,2.325228342137065e-05,7.210578240208252e-05,0.00010429603603182194,0.0001882826474356284,1.600100625393471e-05,2.4026359263403786e-05,4.048143859367068e-05,6.935854542671604e-05,2003
51,0.0001071109998215543,0.00024492980088241574,5.579644872266927e-05,0.00013891712049931746,2.0638606862040825e-05,1.7856160934662254e-05,2.580852074092823e-05,6.906958799170301e-05,0.00010141936550291144,0.00016704782648502625,1.7678953098950453e-05,2.54957733907166e-05,3.847447466745163e-05,6.895388894493019e-05,2004
52,0.00010316517861364469,0.0002668522510721026,5.865198945290756e-05,0.0001782730460206662,2.6922796684734802e-05,1.6739226823410816e-05,2.5995049048582074e-05,5.765790278452489e-05,9.962188630805734e-05,0.0001579027471785423,3.454472973009881e-05,6.232725658787999e-05,4.6009809242274536e-05,7.470826096742987e-05,2005
53,8.864060461655355e-05,0.00030726900926150204,4.4954413018110506e-05,0.00015998976749318877,2.6684244293490284e-05,1.655448436825086e-05,2.9219026841292016e-05,7.068343026334885e-05,9.88283089560947e-05,0.00016311485400284626,3.3775464885775255e-05,5.5167245683056536e-05,4.498602759216989e-05,8.249148320339038e-05,2006
54,7.648281236312049e-05,0.0003381289564496061,7.328780253125334e-05,0.00022499001853011445,2.5443519633737935e-05,2.033529590830467e-05,3.358236524410156e-05,7.014846906593438e-05,8.231204240496467e-05,0.00016454747965678908,3.5980091344944146e-05,6.755132279970381e-05,4.069984655612753e-05,6.880546132723485e-05,2007
55,7.307191640493667e-05,0.0003663988789634077,7.073727521235332e-05,0.00027013411418201855,2.393435775047481e-05,2.05994034445335e-05,3.326272829472942e-05,4.478631093868309e-05,8.116115413975477e-05,0.00018728561859255216,9.01610736879047e-05,9.145015172763446e-05,2.852099516952674e-05,7.341793798960148e-05,2008
56,7.339000708479032e-05,0.00036036153474734744,7.205954489807967e-05,0.00026699778532887045,1.8732335887074044e-05,2.182294527729274e-05,3.739264987013267e-05,4.5636159189809184e-05,8.194954602893222e-05,0.00018468047469303342,0.00011348618288330502,0.00010010117449626068,2.9919007158410315e-05,7.420240132997596e-05,2009
